id,type,name,discipline,builderEligible,interfaces,attributes
sram-rival1-gxp-172-5mm-40t,Crankset,SRAM Rival1 GXP 172.5mm 40t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""40"",""weight_g"":730,""price"":185,""category"":""GRAVEL""}"
schwalbe-pro-one-tle-700x28c,Tire,Schwalbe Pro One TLE 700x28c,multi,TRUE,"{""diameter"":""700c"",""width"":28,""tubeless"":true}","{""size_label"":""700x28c"",""weight"":280,""tpi"":127,""color"":""Black"",""purpose"":""Road""}"
wtb-venture-700x50c,Tire,WTB Venture 700x50c,multi,TRUE,"{""diameter"":""700c"",""width"":50,""tubeless"":true}","{""size_label"":""700x50c"",""weight"":530,""tpi"":60,""purpose"":""Gravel""}"
sram-hs2-160mm-centerlock,BrakeRotor,SRAM HS2 160mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":160}","{""size"":160,""mount"":""CENTERLOCK"",""weight"":145,""price"":55}"
sram-hs2-180mm-centerlock,BrakeRotor,SRAM HS2 180mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":180}","{""size"":180,""mount"":""CENTERLOCK"",""weight"":175,""price"":58}"
sram-hs2-200mm-centerlock,BrakeRotor,SRAM HS2 200mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":200}","{""size"":200,""mount"":""CENTERLOCK"",""weight"":206,""price"":63}"
sram-hs2-220mm-centerlock,BrakeRotor,SRAM HS2 220mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":220}","{""size"":220,""mount"":""CENTERLOCK"",""weight"":240,""price"":68}"
sram-hs2-160mm-6bolt,BrakeRotor,SRAM HS2 160mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":160}","{""size"":160,""mount"":""6BOLT"",""weight"":135,""price"":55}"
sram-hs2-180mm-6bolt,BrakeRotor,SRAM HS2 180mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":180}","{""size"":180,""mount"":""6BOLT"",""weight"":165,""price"":58}"
sram-hs2-200mm-6bolt,BrakeRotor,SRAM HS2 200mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":200}","{""size"":200,""mount"":""6BOLT"",""weight"":196,""price"":63}"
sram-hs2-220mm-6bolt,BrakeRotor,SRAM HS2 220mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":220}","{""size"":220,""mount"":""6BOLT"",""weight"":230,""price"":68}"
hope-floating-disc-140mm-6bolt,BrakeRotor,Hope Floating Disc 140mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":140}","{""size"":140,""mount"":""6BOLT"",""weight"":82,""price"":55}"
hope-floating-disc-160mm-6bolt,BrakeRotor,Hope Floating Disc 160mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":160}","{""size"":160,""mount"":""6BOLT"",""weight"":92,""price"":60}"
hope-floating-disc-180mm-6bolt,BrakeRotor,Hope Floating Disc 180mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":180}","{""size"":180,""mount"":""6BOLT"",""weight"":146,""price"":65}"
hope-floating-disc-203mm-6bolt,BrakeRotor,Hope Floating Disc 203mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":203}","{""size"":203,""mount"":""6BOLT"",""weight"":176,""price"":70}"
hope-floating-disc-140mm-centerlock,BrakeRotor,Hope Floating Disc 140mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":140}","{""size"":140,""mount"":""CENTERLOCK"",""weight"":92,""price"":55}"
hope-floating-disc-160mm-centerlock,BrakeRotor,Hope Floating Disc 160mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":160}","{""size"":160,""mount"":""CENTERLOCK"",""weight"":102,""price"":60}"
hope-floating-disc-180mm-centerlock,BrakeRotor,Hope Floating Disc 180mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":180}","{""size"":180,""mount"":""CENTERLOCK"",""weight"":156,""price"":65}"
hope-floating-disc-203mm-centerlock,BrakeRotor,Hope Floating Disc 203mm,multi,TRUE,"{""mount"":""CENTERLOCK"",""rotor_size"":203}","{""size"":203,""mount"":""CENTERLOCK"",""weight"":186,""price"":70}"
magura-storm-hc-160mm-6bolt,BrakeRotor,Magura Storm HC 160mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":160}","{""size"":160,""mount"":""6BOLT"",""weight"":127,""price"":45}"
magura-storm-hc-180mm-6bolt,BrakeRotor,Magura Storm HC 180mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":180}","{""size"":180,""mount"":""6BOLT"",""weight"":148,""price"":50}"
magura-storm-hc-203mm-6bolt,BrakeRotor,Magura Storm HC 203mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":203}","{""size"":203,""mount"":""6BOLT"",""weight"":182,""price"":55}"
magura-storm-sl-140mm-6bolt,BrakeRotor,Magura Storm SL 140mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":140}","{""size"":140,""mount"":""6BOLT"",""weight"":75,""price"":60}"
magura-storm-sl-160mm-6bolt,BrakeRotor,Magura Storm SL 160mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":160}","{""size"":160,""mount"":""6BOLT"",""weight"":95,""price"":65}"
magura-storm-sl-180mm-6bolt,BrakeRotor,Magura Storm SL 180mm,multi,TRUE,"{""mount"":""6BOLT"",""rotor_size"":180}","{""size"":180,""mount"":""6BOLT"",""weight"":115,""price"":70}"
deda-zero100-road,Stem,Deda Elementi Zero100 Road,multi,TRUE,"{""clamp"":31.7,""steerer"":""1-1/8""}","{""brand"":""Deda"",""length"":110,""angle"":-8,""weight_g"":125,""material"":""Aluminum""}"
zipp-sl-speed,Stem,Zipp SL Speed,multi,TRUE,"{""clamp_diameter"":""31.8mm"",""steerer_clamp"":""1_1/8""}","{""material"":""Carbon"",""length"":""100mm"",""angle"":""6 deg"",""weight"":123}"
thomson-elite-road,Stem,Thomson Elite Road,multi,TRUE,"{""clamp_diameter"":""31.8mm"",""steerer_clamp"":""1_1/8""}","{""material"":""Alloy"",""length"":""90mm"",""angle"":""-6 deg"",""weight"":175}"
easton-haven,Stem,Easton Haven,multi,TRUE,"{""clamp_diameter"":""35mm"",""steerer_clamp"":""1_1/8""}","{""material"":""Alloy"",""length"":""50mm"",""angle"":""0 deg"",""weight"":140}"
ritchey-wcs-carbon-link-316-0mm,Seatpost,Ritchey WCS Carbon Link 31.6mm 0mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":0,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":200,""price"":160}"
easton-ec90-sl-272-0mm,Seatpost,Easton EC90 SL 27.2mm 0mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":0,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":189,""price"":180}"
easton-ec90-sl-272-20mm,Seatpost,Easton EC90 SL 27.2mm 20mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":20,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":200,""price"":180}"
fsa-k-force-sb0-272-0mm,Seatpost,FSA K-Force SB0 27.2mm 0mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":0,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":185,""price"":175}"
fsa-k-force-sb0-316-0mm,Seatpost,FSA K-Force SB0 31.6mm 0mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":0,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":205,""price"":175}"
fsa-k-force-sb25-272-25mm,Seatpost,FSA K-Force SB25 27.2mm 25mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":25,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":188,""price"":175}"
fsa-k-force-sb25-316-25mm,Seatpost,FSA K-Force SB25 31.6mm 25mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":25,""material"":""CARBON"",""dropper"":false,""travel"":null,""weight"":204,""price"":175}"
panaracer-gravelking-sk-650b-x-2-1,Tire,"Panaracer GravelKing SK+ 650b x 2.1""",multi,TRUE,"{""diameter"":""650b"",""width"":53,""tubeless"":true}","{""size_label"":""650b x 2.1\"""",""weight"":550,""tpi"":60,""purpose"":""Gravel""}"
wtb-sendero-650b-x-2-1,Tire,"WTB Sendero 650b x 2.1""",multi,TRUE,"{""diameter"":""650b"",""width"":53,""tubeless"":true}","{""size_label"":""650b x 2.1\"""",""weight"":590,""tpi"":60,""purpose"":""Gravel""}"
specialized-pathfinder-pro-650b-x-2-1,Tire,"Specialized Pathfinder Pro 650b x 2.1""",multi,TRUE,"{""diameter"":""650b"",""width"":53,""tubeless"":true}","{""size_label"":""650b x 2.1\"""",""weight"":560,""tpi"":60,""purpose"":""Gravel""}"
maxxis-ikon-exo-tr-650b-x-2-1,Tire,"Maxxis Ikon EXO/TR 650b x 2.1""",multi,TRUE,"{""diameter"":""650b"",""width"":53,""tubeless"":true}","{""size_label"":""650b x 2.1\"""",""weight"":580,""tpi"":60,""purpose"":""Gravel""}"
teravail-washburn-650b-x-2-1,Tire,"Teravail Washburn 650b x 2.1""",multi,TRUE,"{""diameter"": ""650b"", ""width"": 47, ""tubeless"": true}","{""size_label"": ""650b x 47"", ""weight"": 575, ""tpi"": 60, ""purpose"": ""Gravel""}"
vittoria-mezcal-g2-0-650b-x-2-1,Tire,"Vittoria Mezcal G2.0 650b x 2.1""",multi,TRUE,"{""diameter"":""650b"",""width"":53,""tubeless"":true}","{""size_label"":""650b x 2.1\"""",""weight"":560,""tpi"":60,""purpose"":""Gravel""}"
donnelly-emp-650b-x-2-1,Tire,"Donnelly EMP 650b x 2.1""",multi,TRUE,"{""diameter"": ""650b"", ""width"": 47, ""tubeless"": true}","{""size_label"": ""650b x 47"", ""weight"": 540, ""tpi"": 60, ""purpose"": ""Gravel""}"
rene-herse-switchback-hill-650b-x-2-1,Tire,"Rene Herse Switchback Hill 650b x 2.1""",multi,TRUE,"{""diameter"": ""650b"", ""width"": 48, ""tubeless"": true}","{""size_label"": ""650Bx48"", ""weight"": 550, ""tpi"": 60, ""purpose"": ""Gravel""}"
challenge-gravel-grinder-650b-x-2-1,Tire,"Challenge Gravel Grinder 650b x 2.1""",multi,TRUE,"{""diameter"": ""650b"", ""width"": 46, ""tubeless"": true}","{""size_label"": ""650b x 46c"", ""weight"": 495, ""tpi"": 120, ""purpose"": ""Gravel""}"
schwalbe-g-one-ultrabite-650b-x-2-1,Tire,"Schwalbe G-One Ultrabite 650b x 2.1""",multi,TRUE,"{""diameter"": ""650b"", ""width"": 50, ""tubeless"": true}","{""size_label"": ""650b x 2.0\"""", ""weight"": 600, ""tpi"": 67, ""purpose"": ""Gravel""}"
teravail-kessel-650b-x-2-2,Tire,"Teravail Kessel 650b x 2.2""",multi,TRUE,"{""diameter"":""650b"",""width"":56,""tubeless"":true}","{""size_label"":""650b x 2.2\"""",""weight"":635,""tpi"":60,""purpose"":""Gravel""}"
wtb-ranger-650b-x-2-2,Tire,"WTB Ranger 650b x 2.2""",multi,TRUE,"{""diameter"":""650b"",""width"":56,""tubeless"":true}","{""size_label"":""650b x 2.2\"""",""weight"":645,""tpi"":60,""purpose"":""Gravel""}"
maxxis-rekon-race-650b-x-2-2,Tire,"Maxxis Rekon Race 650b x 2.2""",multi,TRUE,"{""diameter"":""650b"",""width"":56,""tubeless"":true}","{""size_label"":""650b x 2.2\"""",""weight"":620,""tpi"":60,""purpose"":""Gravel""}"
schwalbe-g-one-bite-650b-x-2-2,Tire,"Schwalbe G-One Bite 650b x 2.2""",multi,TRUE,"{""diameter"":""650b"",""width"":56,""tubeless"":true}","{""size_label"":""650b x 2.2\"""",""weight"":630,""tpi"":67,""purpose"":""Gravel""}"
panaracer-gravelking-sk-650b-x-2-2,Tire,"Panaracer GravelKing SK+ 650b x 2.2""",multi,TRUE,"{""diameter"":""650b"",""width"":56,""tubeless"":true}","{""size_label"":""650b x 2.2\"""",""weight"":595,""tpi"":60,""purpose"":""Gravel""}"
orbea-terra-m-ltd-m,Frame,Orbea Terra M-LTD (M),gravel,TRUE,"{""frame_type"":""GRAVEL"",""wheel_size"":""700c"",""bb_shell"":""BSA_68"",""rear_axle"":""TA_12_142"",""seatpost_diameter"":""27.2mm"",""brake_mount"":""FLAT_MOUNT"",""steerer_tube"":""TAPERED""}","{""category"":""GRAVEL"",""material"":""CARBON"",""size"":""M"",""max_tire"":47,""weight"":960,""price"":3200,""udh"":true}"
sram-x0-eagle-12sp,Chain,SRAM X0 Eagle 12sp,multi,TRUE,"{""speeds"":12}","{""speeds"":12,""weight"":258,""price"":55}"
thomson-elite-272-0mm,Seatpost,Thomson Elite 27.2mm 0mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":0,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":228,""price"":89}"
thomson-elite-272-16mm,Seatpost,Thomson Elite 27.2mm 16mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":16,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":241,""price"":89}"
thomson-elite-309-0mm,Seatpost,Thomson Elite 30.9mm 0mm,multi,TRUE,"{""diameter"":30.9,""dropper"":false,""travel"":null}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":250,""price"":89}"
thomson-elite-309-16mm,Seatpost,Thomson Elite 30.9mm 16mm,multi,TRUE,"{""diameter"":30.9,""dropper"":false,""travel"":null}","{""diameter"":30.9,""setback"":16,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":263,""price"":89}"
thomson-elite-316-0mm,Seatpost,Thomson Elite 31.6mm 0mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":255,""price"":89}"
thomson-elite-316-16mm,Seatpost,Thomson Elite 31.6mm 16mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":16,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":268,""price"":89}"
ritchey-wcs-link-272-20mm,Seatpost,Ritchey WCS Link 27.2mm 20mm,multi,TRUE,"{""diameter"":27.2,""dropper"":false,""travel"":null}","{""diameter"":27.2,""setback"":20,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":236,""price"":90}"
ritchey-wcs-link-309-20mm,Seatpost,Ritchey WCS Link 30.9mm 20mm,multi,TRUE,"{""diameter"":30.9,""dropper"":false,""travel"":null}","{""diameter"":30.9,""setback"":20,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":250,""price"":90}"
ritchey-wcs-link-316-20mm,Seatpost,Ritchey WCS Link 31.6mm 20mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":20,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":255,""price"":90}"
pro-lt-309-20mm,Seatpost,PRO LT 30.9mm 20mm,multi,TRUE,"{""diameter"":30.9,""dropper"":false,""travel"":null}","{""diameter"":30.9,""setback"":20,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":295,""price"":65}"
pro-lt-316-20mm,Seatpost,PRO LT 31.6mm 20mm,multi,TRUE,"{""diameter"":31.6,""dropper"":false,""travel"":null}","{""diameter"":31.6,""setback"":20,""material"":""ALUMINUM"",""dropper"":false,""travel"":null,""weight"":300,""price"":65}"
fox-transfer-performance-309-0mm-100mm,Seatpost,Fox Transfer Performance 30.9mm 0mm-100mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":100}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":100,""weight"":475,""price"":280}"
fox-transfer-performance-309-0mm-125mm,Seatpost,Fox Transfer Performance 30.9mm 0mm-125mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":125}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":125,""weight"":511,""price"":280}"
fox-transfer-performance-309-0mm-150mm,Seatpost,Fox Transfer Performance 30.9mm 0mm-150mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":150}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":150,""weight"":545,""price"":300}"
fox-transfer-performance-316-0mm-100mm,Seatpost,Fox Transfer Performance 31.6mm 0mm-100mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":100}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":100,""weight"":485,""price"":280}"
fox-transfer-performance-316-0mm-125mm,Seatpost,Fox Transfer Performance 31.6mm 0mm-125mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":125}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":125,""weight"":521,""price"":280}"
fox-transfer-performance-316-0mm-150mm,Seatpost,Fox Transfer Performance 31.6mm 0mm-150mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":150}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":150,""weight"":555,""price"":300}"
fox-transfer-performance-316-0mm-175mm,Seatpost,Fox Transfer Performance 31.6mm 0mm-175mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":175}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":175,""weight"":590,""price"":300}"
fox-transfer-factory-309-0mm-100mm,Seatpost,Fox Transfer Factory 30.9mm 0mm-100mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":100}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":100,""weight"":465,""price"":380}"
fox-transfer-factory-309-0mm-125mm,Seatpost,Fox Transfer Factory 30.9mm 0mm-125mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":125}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":125,""weight"":501,""price"":380}"
fox-transfer-factory-309-0mm-150mm,Seatpost,Fox Transfer Factory 30.9mm 0mm-150mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":150}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":150,""weight"":535,""price"":400}"
fox-transfer-factory-309-0mm-175mm,Seatpost,Fox Transfer Factory 30.9mm 0mm-175mm,multi,TRUE,"{""diameter"":30.9,""dropper"":true,""travel"":175}","{""diameter"":30.9,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":175,""weight"":570,""price"":400}"
fox-transfer-factory-316-0mm-100mm,Seatpost,Fox Transfer Factory 31.6mm 0mm-100mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":100}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":100,""weight"":475,""price"":380}"
fox-transfer-factory-316-0mm-125mm,Seatpost,Fox Transfer Factory 31.6mm 0mm-125mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":125}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":125,""weight"":511,""price"":380}"
fox-transfer-factory-316-0mm-150mm,Seatpost,Fox Transfer Factory 31.6mm 0mm-150mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":150}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":150,""weight"":545,""price"":400}"
fox-transfer-factory-316-0mm-175mm,Seatpost,Fox Transfer Factory 31.6mm 0mm-175mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":175}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":175,""weight"":580,""price"":400}"
fox-transfer-factory-316-0mm-200mm,Seatpost,Fox Transfer Factory 31.6mm 0mm-200mm,multi,TRUE,"{""diameter"":31.6,""dropper"":true,""travel"":200}","{""diameter"":31.6,""setback"":0,""material"":""ALUMINUM"",""dropper"":true,""travel"":200,""weight"":615,""price"":420}"
industry-nine-enduro-s-29,Wheel,Industry Nine Enduro S 29,multi,TRUE,"{""diameter"":""29"",""brake_type"":""Disc"",""brake_mount"":""6-Bolt"",""front_axle"":""15x110mm"",""rear_axle"":""12x148mm"",""freehub"":[""Shimano HG"",""SRAM XD""]}","{""material"":""Carbon"",""weight"":1700,""rim_depth"":20,""internal_width"":30,""external_width"":35}"
sram-apex-axs-cassette-10-44,Cassette,SRAM Apex Cassette 10-44,multi,TRUE,"{""freehub"":""SRAM_XDR""}","{""speeds"":12,""range"":""10-44"",""weight"":250}"
sram-eagle-transmission-t-type-xs-1299-1295-1275-10-52t,Cassette,SRAM Eagle Transmission (T-Type) XS-1299/1295/1275 10-52t,multi,TRUE,"{""freehub_mount"":""SRAM XD"",""speeds"":12}","{""range"":""10-52t"",""cog_list"":[10,12,14,16,18,21,24,28,32,38,44,52],""weight"":380}"
sram-eagle-legacy-xg-1299-1295-1275-10-52t,Cassette,SRAM Eagle (Legacy) XG-1299/1295/1275 10-52t,multi,TRUE,"{""freehub_mount"":""SRAM XD"",""speeds"":12}","{""range"":""10-52t"",""cog_list"":[10,12,14,16,18,21,24,28,32,36,42,52],""weight"":450}"
sram-eagle-legacy-xg-1299-1295-1275-10-50t,Cassette,SRAM Eagle (Legacy) XG-1299/1295/1275 10-50t,multi,TRUE,"{""freehub_mount"":""SRAM XD"",""speeds"":12}","{""range"":""10-50t"",""cog_list"":[10,12,14,16,18,21,24,28,32,36,42,50],""weight"":360}"
sram-red-xplr-xg-1391-13s-10-46t,Cassette,SRAM Red XPLR XG-1391 (13s) 10-46t,multi,TRUE,"{""freehub_mount"":""SRAM XDR"",""speeds"":13}","{""range"":""10-46t"",""cog_list"":[10,11,12,13,15,17,19,21,24,28,32,38,46],""weight"":288}"
sram-red-force-xg-1290-1270-10-28t,Cassette,SRAM Red/Force XG-1290/1270 10-28t,multi,TRUE,"{""freehub_mount"":""SRAM XDR"",""speeds"":12}","{""range"":""10-28t"",""cog_list"":[10,11,12,13,14,15,16,17,19,21,24,28],""weight"":180}"
sram-red-force-xg-1290-1270-10-33t,Cassette,SRAM Red/Force XG-1290/1270 10-33t,multi,TRUE,"{""freehub_mount"":""SRAM XDR"",""speeds"":12}","{""range"":""10-33t"",""cog_list"":[10,11,12,13,14,15,17,19,21,24,28,33],""weight"":210}"
sram-force-rival-xg-1270-1250-10-36t,Cassette,SRAM Force/Rival XG-1270/1250 10-36t,multi,TRUE,"{""freehub_mount"":""SRAM XDR"",""speeds"":12}","{""range"":""10-36t"",""cog_list"":[10,11,12,13,15,17,19,21,24,28,32,36],""weight"":309}"
shimano-dura-ace-ultegra-105-12s-11-30t,Cassette,Shimano Dura-Ace/Ultegra/105 12s 11-30t,multi,TRUE,"{""freehub_mount"":""Shimano HG L2 (Road 12s)"",""speeds"":12}","{""range"":""11-30t"",""cog_list"":[11,12,13,14,15,16,17,19,21,24,27,30],""weight"":223}"
shimano-dura-ace-ultegra-105-12s-11-34t,Cassette,Shimano Dura-Ace/Ultegra/105 12s 11-34t,multi,TRUE,"{""freehub_mount"":""Shimano HG L2 (Road 12s)"",""speeds"":12}","{""range"":""11-34t"",""cog_list"":[11,12,13,14,15,17,19,21,24,27,30,34],""weight"":253}"
shimano-xtr-xt-slx-cs-m9100-8100-7100-10-51t,Cassette,Shimano XTR/XT/SLX CS-M9100/8100/7100 10-51t,multi,TRUE,"{""freehub_mount"":""Shimano Micro Spline"",""speeds"":12}","{""range"":""10-51t"",""cog_list"":[10,12,14,16,18,21,24,28,33,39,45,51],""weight"":367}"
shimano-xtr-xt-slx-cs-m9100-8100-7100-10-45t,Cassette,Shimano XTR/XT/SLX CS-M9100/8100/7100 10-45t,multi,TRUE,"{""freehub_mount"":""Shimano Micro Spline"",""speeds"":12}","{""range"":""10-45t"",""cog_list"":[10,12,14,16,18,21,24,28,32,36,40,45],""weight"":357}"
